,penyakit,gejala
0,Zinc Poisoning in Cats," and Types


    Lack of appetite
    Vomiting
    Diarrhea
    Lethargy
    Depression
    Excessive hemoglobin levels in blood
    Excessive hemoglobin levels in urine
    Jaundice
    Orange colored feces


"
1,Zinc Phosphide Poisoning in Cats,"


    Garlic or rotten fish odor in breath (with no recent history of eating either of these foods)
    Rapid and/or difficult breathing
    Blood in vomit
    Depression
    Weakness
    Convulsions/seizures


"
2,Yellow Skin (Jaundice) in Cats," of Jaundice in Cats 
Jaundice in cats is, by definition, yellowing of the skin. It’s most easily seen when looking at the whites of your cat’s eyes, the lightly haired area inside of the ears, or along the lips and back of the hard palate (roof) in the mouth. Most cats experiencing jaundice are also not feeling well, so they may be sluggish, not eating as much, and vomiting frequently. 

The following additional signs may appear with jaundice: 


        
        Yellowish discoloration of the skin 
        



        
        Fever 
        
        
        Abdominal pain 
        
        
        Loss of appetite (anorexia) 
        
        
        Paleness 
        
        
        Change in color of urine and feces (orange colored) 
        



        
        Increased frequency (polyuria) and volume of urine 
        
        
        Increased thirst (polydipsia) and consumption of water 
        
        
        Mental confusion in advanced cases 
        
        
        Weight loss 
        
        
        Bleeding (especially in cats with advanced liver disease) 
        


"
3,Yeast Infection and Thrush in Cats,"



How the symptoms of candidiasis manifest depend largely on where the infection takes place. In the case of an ear infection, a common symptom is constant shaking and scratching at the head. If candida settles in the oral cavity, there will usually be an abnormal amount of drooling. If it involves the urinary bladder, your cat may experience inflammation of the bladder (cystitis). Inflammation around areas where intravenous (IV) catheters and gastronomy tubes have been inserted, skin irritation, open sores on the skin (ulcerative lesions), and correlating fever are common symptoms that these sites have been invaded by candida.



"
4,Xanthine Urinary Tract Stones in Cats," and Types
 
Although some cats may not display any clinical symptoms (asymptomatic), most will exhibit such signs as:

    Mustard colored urine
    Bladder stones:

    
        Frequent urination (polyuria)
        Difficulty urinating
        Bloody urine (hematuria)
    
    
    Stones in the urethra:

    
        Frequent urination
        Difficulty urinating
        Bloody urine
        Urethra may be blocked
    
    
    Kidney stones (nephroliths):

    
        Asymptomatic
        Hydronephrosis – kidney is swollen with urine due to a blocked ureter (the tube leading to the bladder from the kidney)
        Kidney disease
    
    


"
5,Worms in Cats," of Worms in Cats
Symptoms of worms in cats may vary. You can usually determine the type of worm based on your cat’s symptoms:


        
        Diarrhea or soft stool; you may see worms in the stool
        
        
        Vomiting (worms may be seen in the vomit)
        
        
        Pot-bellied (distended) abdomen
        
        
        Thin body condition and weight loss
        
        
        General unhealthy appearance including dull hair coat
        
        
        Pale gums (hookworms only)
        
        
        Coughing or trouble breathing can be seen if worms migrate to the lungs (hookworms, roundworms)
        


"
6,Wolff-Parkinson-White Syndrome in Cats," and Types


    Fainting (syncope)
    Extremely rapid heart rate (approaching 400 to 500 beats per minute)


"
7,Whipworms in Cats," of Whipworm Infection in Cats
Fortunately, most infections are mild in cats, and in many cases a cat will not show any symptoms. A few worms generally don’t cause significant problems. Health concerns arise when a cat is heavily infected. In these rare cases, cats can experience extreme illness or possibly die from the infection.

Symptoms of severe infection include:


	Bloody diarrhea, with or without mucus
	Weight loss
	Dehydration
	General malaise
	Anemia (low red blood cell count)


Whipworms live in the cecum and large intestine, so they are rarely seen by the naked eye. Eggs are microscopic. 
"
9,Weak Immune System due to Hereditary Disorder in Cats," and Types
 

    Prone to recurrent infections and failed response to conventional antibiotic therapies
    Lethargy
    Lack of appetite (anorexia)
    Various skin infections
    Poor growth (hallmark)
    Post vaccination diseases
    Other symptoms related to infections

 
"
10,Watery Eyes (Epiphora) in Cats," of Watery Eyes in Cats
Common signs associated with watery eyes in cats include:


	
	Wetness beneath the eyes
	
	
	Staining of the fur beneath the eyes (often reddish-brown, especially in light-colored cats)
	
	
	Redness and/or swelling of the skin under eyes
	
	
	Squinting one or both eyes
	
	
	Excessive blinking
	
	
	Redness and/or swelling of the pink tissue (conjunctiva) inside the eyelids
	
	
	Changes to the color or clarity of the eye, such as redness or cloudiness
	
	
	Sneezing or discharge from the nose
	
	
	Pawing at the eyes
	


"
